name,ring,quadrant,isNew,description
"💻 Alfred (& Workflows)","adopt","工具与服务","FALSE","万能单一入口「Less is more, 简约而不简单」 <a href=""https://github.com/JimmyLv/jimmylv.github.io/issues/78"">Alfred Workflows 专题 · Issue #78 · JimmyLv/jimmylv.github.io</a>"
"💻 Bartender 3","adopt","工具与服务","FALSE","隐藏菜单栏图标（拯救性 App… 防止注意力干扰…）"
"💻 Chrome (& Extensions)","adopt","工具与服务","FALSE","无敌浏览器 <a href=""https://github.com/JimmyLv/jimmylv.github.io/issues/140"">Chrome Extensions 专题 · Issue #140 · JimmyLv/jimmylv.github.io</a>"
"💻 CleanMyMac X","adopt","工具与服务","FALSE","入手 Setapp 后开始使用 X 版本 · 结合 Alfred 特别完美，直接删除相应的软件"
"💻 Karabiner 🆕","adopt","工具与服务","FALSE","Karabiner-Elements · 改键神器（开源）· 最近把Ctrl+P/N/B/F/A/E 的 Emacs快捷键加到了全局"
"💻📱 RescueTime 🆕","adopt","工具与服务","TRUE","无需任何人为干预，记录 Apps 使用时间 · 🆕 跟 Gyroscope 结合，量化自我"
"💻📱 Shadowsocks","adopt","工具与服务","FALSE","翻墙必备 💻 ShadowsocksX-NG 📱Potatso Lite <a href=""https://github.com/JimmyLv/jimmylv.github.io/issues/289"">小米路由器翻墙配置总结（Google Cloud、Shadowsocks、Misstar Tool） · Issue #289 · JimmyLv/jimmylv.github.io</a>"
"💻 Xnip 🆕","adopt","工具与服务","TRUE","更好用的截图软件 · 备选：截图(Jietu) - 腾讯出品"
"📱 Shortcuts 捷径 🆕","adopt","工具与服务","TRUE","手机上的轻量级工具，可能都要被取代 · 捷径社区"
"💻 Keka 🆕","adopt","工具与服务","TRUE","最好用的解/压缩软件 · 支持解压后自动删除源文件"
"💻📱 iCloud","adopt","工具与服务","FALSE","苹果生态下最好用的云服务 · 已订阅家庭版，跟女朋友共享"
"💻 Folx","trial","工具与服务","FALSE","好用的下载器，迅雷什么的就再见吧"
"💻 KeyCastr","trial","工具与服务","FALSE","按键显示，做Session或录视频时"
"💻 Magnet","trial","工具与服务","FALSE","窗口工具 · 备选1：ShiftIt 窗口布局神器（开源）· 备选2： SizeUp 多显示器/Desktop 支持 #214"
"💻📱 百度网盘 (& Aria2GUI)","trial","工具与服务","FALSE","照片备份、全速下载"
"💻 Homebrew","trial","工具与服务","FALSE","💻装软件的正确姿势 · & Homebrew Cask & Cakebrew GUI"
"💻 Setapp 🆕","trial","工具与服务","FALSE","非常好的正版软件订阅服务"
"💻📱 timetrack.io ⏸","trial","工具与服务","TRUE","带目标追踪的时间记录 · 重新发明番茄工作法"
"💻 PriceTag 🆕","trial","工具与服务","TRUE","最好的 App 追踪工具，以及发现新 App"
"💻 Command-Tab Plus","assess","工具与服务","FALSE","根据数字切换当前 Desktop Apps · 用得还是少，因为我把 Desktop 分了 Space"
"💻 Snappy","assess","工具与服务","TRUE","截图悬停 · 代码参考时"
"💻 Helium","assess","工具与服务","TRUE","视频悬停 · 但其实用得很少"
"💻 OctoMouse ⏸","assess","工具与服务","TRUE","记录鼠标、键盘敲击次数"
"💻 OmniDiskSweeper","assess","工具与服务","FALSE","磁盘空间检测 · 方便评估和清理文件夹"
"💻 Quitter for Mac","assess","工具与服务","FALSE","自动退出未使用 Apps"
"💻 Snap ⏸","assess","工具与服务","TRUE","Option + Nums 快速切换常用 Apps"
"💻 SpaceLauncher ⏸","assess","工具与服务","TRUE","Space 作为 Hyper 触发键"
"💻 Tickeys","assess","工具与服务","FALSE","模拟机械键盘声音，还有好玩儿的泡泡声"
"💻📱 WD MyCloud  ⏸","assess","工具与服务","TRUE","私有云 · 好久没用了，😔 · 照片还是统一放到 Google Photos"
"💻 Shortcat","assess","工具与服务","FALSE","全键盘操作 · 我还是没能做到，阅读时离不开🖱 就像拿着一支笔一样，看来有必要入手 ApplePencil"
"💻 iStat for Mac ⏸","hold","工具与服务","TRUE","参数控（隐藏以弱化该功能）"
"💻 Amphetamine ⏸","hold","工具与服务","TRUE","类似 caffeine but 更好用更好看"
"💻 AppCleaner ⏹","hold","工具与服务","TRUE","清理 Apps，统一用 CleanMyMac 了"
"💻 Dr. Cleaner ⏹","hold","工具与服务","TRUE","内存管家，统一用 CleanMyMac 了"
"💻 Flux ⏹","hold","工具与服务","TRUE","护眼，苹果系统自带有 · 干掉了第三方开发者，美其名曰吸收生态"
"💻 HyperDock ⏹","hold","工具与服务","TRUE","仿照 Windows 的窗口预览"
"💻 HyperSwitch ⏹","hold","工具与服务","TRUE","Option + Tab 切换当前 Desktop 窗口 -> Command-Tab Plus"
"💻 Near Lock ⏹","hold","工具与服务","TRUE","配合 iPhone 自动解锁、输入密码 => Apple Watch & Touch Bar"
"💻 smcFanControl ⏹","hold","工具与服务","TRUE","风扇控制，夏日解暑/冬日取暖 必备"
